date,WILL5000IND_r2,WILLLRGCAP_r2,WILLLRGCAPVAL_r2,WILLLRGCAPGR_r2,WILLMIDCAP_r2,WILLMIDCAPVAL_r2,WILLMIDCAPGR_r2,WILLSMLCAP_r2,WILLSMLCAPVAL_r2,WILLSMLCAPGR_r2,WILL5000IND_sign,WILLLRGCAP_sign,WILLLRGCAPVAL_sign,WILLLRGCAPGR_sign,WILLMIDCAP_sign,WILLMIDCAPVAL_sign,WILLMIDCAPGR_sign,WILLSMLCAP_sign,WILLSMLCAPVAL_sign,WILLSMLCAPGR_sign,WILL5000IND_pch,WILLLRGCAP_pch,WILLLRGCAPVAL_pch,WILLLRGCAPGR_pch,WILLMIDCAP_pch,WILLMIDCAPVAL_pch,WILLMIDCAPGR_pch,WILLSMLCAP_pch,WILLSMLCAPVAL_pch,WILLSMLCAPGR_pch
1985-12-31,22.1927672464,20.567041308100002,17.92590921,23.473249806400002,15.4046830144,18.378626220899996,12.8752510041,16.095983520400004,16.6226628681,15.6103219801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.71092,4.53509,4.2339,4.84492,3.92488,4.28703,3.58821,4.01198,4.07709,3.95099
1986-01-31,1.0454858000999998,0.44488900000000003,0.0003560769000000001,1.7606105344000003,5.1080068081,5.9883473521,4.3469748036,2.9479173025,1.6179585601,4.532513260899999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02249,0.667,0.01887,1.32688,2.26009,2.44711,2.08494,1.71695,1.27199,2.12897
1986-02-28,53.1069275025,56.054570041599995,38.3418547264,77.35466352249999,49.8287751025,47.3740370944,52.1574284401,52.1575728804,57.789035648100004,47.2795135201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.28745,7.48696,6.19208,8.79515,7.05895,6.88288,7.22201,7.22202,7.60191,6.87601
1986-03-31,29.93950089,31.168549094400003,22.411040040899998,41.1246451225,40.4858601225,41.0779728241,39.9407568169,26.999351288099998,23.7963474225,30.095427964899997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.4717,5.58288,4.73403,6.41285,6.36285,6.40921,6.31987,5.19609,4.87815,5.48593
1986-04-30,0.5120261135999999,1.6823127616,6.9534525636,1.58404e-5,0.0017505856000000002,1.1795046025,0.8932329121,1.3620057024999999,0.0004857616,5.026429480899999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.71556,-1.29704,-2.63694,0.00398,-0.04184,-1.08605,0.94511,1.16705,-0.02204,2.24197
1986-05-31,25.4525295025,28.367021644899996,20.250090000099995,37.3195144609,23.648088184900004,14.5692599809,33.9894830025,19.7666492409,12.187569744900001,27.972780544899997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.04505,5.32607,4.50001,6.10897,4.86293,3.81697,5.83005,4.44597,3.49107,5.28893
1986-06-30,1.8829602840999997,2.6603893449,0.6608226681,5.7078465921,1.2790931409000001,0.18326104810000002,3.07616521,1.3088504025,0.14666602089999997,3.2334153489000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.37221,1.63107,0.81291,2.38911,1.13097,0.42809,1.7539,1.14405,0.38297,1.79817
1986-07-31,35.07209750890001,29.2813018884,17.740185848099998,43.560924004899995,51.1635492369,42.18489510009999,60.76077780640001,71.89411932159999,54.2734257025,90.49907160999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.92217,-5.41122,-4.21191,-6.60007,-7.15287,-6.49499,-7.79492,-8.47904,-7.36705,-9.5131
1986-08-31,44.2847659024,51.6102870409,85.34082876009998,25.878586410000004,36.62549361,51.7077484561,24.1563403081,18.387115520400002,21.594609000000002,15.570916000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.65468,7.18403,9.23801,5.0871,6.0519,7.19081,4.91491,4.28802,4.647,3.946
1986-09-30,62.81830564,68.77368314009999,50.21366354559999,91.58719681439999,42.2124383521,29.7468795649,57.136818032099995,40.4515080225,25.382149324900002,58.1854686436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.9258,-8.29299,-7.08616,-9.57012,-6.49711,-5.45407,-7.55889,-6.36015,-5.03807,-7.62794
